"","code_muni","abbrev_state"
"266",2926004,"BA"
"267",2930774,"BA"
"268",2921500,"BA"
"269",2916104,"BA"
"270",2902104,"BA"
"271",2928901,"BA"
"272",2900207,"BA"
"273",2911204,"BA"
"274",2932457,"BA"
"275",2915601,"BA"
"276",2904308,"BA"
"277",2909505,"BA"
"278",2903706,"BA"
"279",2910008,"BA"
"280",2901007,"BA"
"281",2925600,"BA"
"282",2925303,"BA"
"283",2910404,"BA"
"284",2930709,"BA"
"285",2915908,"BA"
"286",2901908,"BA"
"287",2933208,"BA"
"288",2907509,"BA"
"289",2930154,"BA"
"290",2917508,"BA"
"291",2918209,"BA"
"292",2924801,"BA"
"293",2911907,"BA"
"294",2920304,"BA"
"295",2908804,"BA"
"296",2912905,"BA"
"297",2925253,"BA"
"298",2906501,"BA"
"299",2906709,"BA"
"300",2902708,"BA"
"301",2930204,"BA"
"302",2933505,"BA"
"303",2932002,"BA"
"304",2923803,"BA"
"305",2915106,"BA"
"306",2914208,"BA"
"307",2926608,"BA"
"308",2915700,"BA"
"309",2911253,"BA"
"310",2901106,"BA"
"311",2910701,"BA"
"312",2905602,"BA"
"313",2923902,"BA"
"314",2903805,"BA"
"315",2924009,"BA"
"316",2927101,"BA"
"317",2913507,"BA"
"318",2930907,"BA"
"319",2917334,"BA"
"320",2931707,"BA"
"321",2901205,"BA"
"322",2922003,"BA"
"323",2921708,"BA"
"324",2920502,"BA"
"325",2915353,"BA"
"326",2919959,"BA"
"327",2901304,"BA"
"328",2911659,"BA"
"329",2918605,"BA"
"330",2913804,"BA"
"331",2925808,"BA"
"332",2931400,"BA"
"333",2901403,"BA"
"334",2926202,"BA"
"335",2922656,"BA"
"336",2933059,"BA"
"337",2928604,"BA"
"338",2904001,"BA"
"339",2932309,"BA"
"340",2920700,"BA"
"341",2910503,"BA"
"342",2912103,"BA"
"343",2908408,"BA"
"344",2909901,"BA"
"345",2921450,"BA"
"346",2924678,"BA"
"347",2928406,"BA"
"348",2925204,"BA"
"349",2933174,"BA"
"350",2927002,"BA"
"351",2919157,"BA"
"352",2903904,"BA"
"353",2904209,"BA"
"354",2911857,"BA"
"355",2910750,"BA"
"356",2903508,"BA"
"357",2907103,"BA"
"358",2906907,"BA"
"359",2911501,"BA"
"360",2925709,"BA"
"361",2910057,"BA"
"362",2901700,"BA"
"363",2913705,"BA"
"364",2901353,"BA"
"365",2904902,"BA"
"366",2905909,"BA"
"367",2928000,"BA"
"368",2923100,"BA"
"369",2907905,"BA"
"370",2926301,"BA"
"371",2932903,"BA"
"372",2932606,"BA"
"373",2919603,"BA"
"374",2930766,"BA"
"375",2924504,"BA"
"376",2929800,"BA"
"377",2913457,"BA"
"378",2911600,"BA"
"379",2908200,"BA"
"380",2921906,"BA"
"381",2909406,"BA"
"382",2918308,"BA"
"383",2904753,"BA"
"384",2918357,"BA"
"385",2913200,"BA"
"386",2612208,"PE"
"387",2923357,"BA"
"388",2921807,"BA"
"389",2926103,"BA"
"390",2901155,"BA"
"391",2921302,"BA"
"392",2932101,"BA"
"393",2906808,"BA"
"394",2925956,"BA"
"395",2904100,"BA"
"396",2933604,"BA"
"397",2906873,"BA"
"398",2931103,"BA"
"399",2912509,"BA"
"400",2902302,"BA"
"401",2907004,"BA"
"402",2908101,"BA"
"403",2933000,"BA"
"404",2922805,"BA"
"405",2928059,"BA"
"406",2905206,"BA"
"407",2933455,"BA"
"408",2907202,"BA"
"409",2922409,"BA"
"410",2921401,"BA"
"411",2932804,"BA"
"412",2913408,"BA"
"413",2931509,"BA"
"414",2908606,"BA"
"415",2927200,"BA"
"416",2903276,"BA"
"417",2920106,"BA"
"418",2907400,"BA"
"419",2922904,"BA"
"420",2923407,"BA"
"421",2919801,"BA"
"422",2902203,"BA"
"423",2930402,"BA"
"424",2924603,"BA"
"425",2926509,"BA"
"426",2900801,"BA"
"427",2908002,"BA"
"428",2906303,"BA"
"429",2930600,"BA"
"430",2907806,"BA"
"431",2906600,"BA"
"432",2929305,"BA"
"433",2924652,"BA"
"434",2903607,"BA"
"435",2924702,"BA"
"436",2928505,"BA"
"437",2928208,"BA"
"438",2926400,"BA"
"439",2923001,"BA"
"440",2916005,"BA"
"441",2802908,"SE"
"442",2902054,"BA"
"443",2927507,"BA"
"444",2922607,"BA"
"445",2908309,"BA"
"446",2922201,"BA"
"447",2909307,"BA"
"448",2929701,"BA"
"449",2930808,"BA"
"450",2904852,"BA"
"451",2905800,"BA"
"452",2929503,"BA"
"453",2924108,"BA"
"454",2905008,"BA"
"455",2931053,"BA"
"456",2907558,"BA"
"457",2920809,"BA"
"458",2931202,"BA"
"459",2925501,"BA"
"460",2914406,"BA"
"461",2914109,"BA"
"462",2924405,"BA"
"463",2929750,"BA"
"464",2906105,"BA"
"465",2922854,"BA"
"466",2917003,"BA"
"467",2909109,"BA"
"468",2901809,"BA"
"469",2932507,"BA"
"470",2917359,"BA"
"471",2900405,"BA"
"472",2910602,"BA"
"473",2926707,"BA"
"474",2919405,"BA"
"475",2927606,"BA"
"476",2923209,"BA"
"477",2915007,"BA"
"478",2912301,"BA"
"479",2922706,"BA"
"480",2909703,"BA"
"481",2913002,"BA"
"482",2900900,"BA"
"483",2900504,"BA"
"484",2929602,"BA"
"485",2928307,"BA"
"486",2929354,"BA"
"487",2909604,"BA"
"488",2912004,"BA"
"489",2927804,"BA"
"490",2923035,"BA"
"491",2924306,"BA"
"492",2921005,"BA"
"493",2931301,"BA"
"494",2920452,"BA"
"495",2919702,"BA"
"496",2902609,"BA"
"497",2914000,"BA"
"498",2912400,"BA"
"499",2933406,"BA"
"500",2916302,"BA"
"501",2912806,"BA"
"502",2923605,"BA"
"503",2906824,"BA"
"504",2918100,"BA"
"505",3304557,"RJ"
"506",3552502,"SP"
"507",2908705,"BA"
"508",2917102,"BA"
"509",2920601,"BA"
"510",2902658,"BA"
"511",2304400,"CE"
"512",2918753,"BA"
"513",2906402,"BA"
"514",2917201,"BA"
"515",2906899,"BA"
"516",2912707,"BA"
"517",2915205,"BA"
"518",2932705,"BA"
"519",2929057,"BA"
"520",2902401,"BA"
"521",2904803,"BA"
"522",2917409,"BA"
"523",2920205,"BA"
"524",2901502,"BA"
"525",2923050,"BA"
"526",2907707,"BA"
"527",2903953,"BA"
"528",2915403,"BA"
"529",2905503,"BA"
"530",2922300,"BA"
"531",2927309,"BA"
"532",2922730,"BA"
"533",2916856,"BA"
"534",2906857,"BA"
"535",2900603,"BA"
"536",2916807,"BA"
"537",2905156,"BA"
"538",2916203,"BA"
"539",3541000,"SP"
"540",2926657,"BA"
"541",2920403,"BA"
"542",2903300,"BA"
"543",2930303,"BA"
"544",2613909,"PE"
"545",2924058,"BA"
"546",2900306,"BA"
"547",2916500,"BA"
"548",2929370,"BA"
"549",2914307,"BA"
"550",2911402,"BA"
"551",2921609,"BA"
"552",2926905,"BA"
"553",2903003,"BA"
"554",2928950,"BA"
"555",2920007,"BA"
"556",2921054,"BA"
"557",2919926,"BA"
"558",2910859,"BA"
"559",2904407,"BA"
"560",2915809,"BA"
"561",2926806,"BA"
"562",4106902,"PR"
"563",2900355,"BA"
"564",2929404,"BA"
"565",2912608,"BA"
"566",2909208,"BA"
"567",2931608,"BA"
"568",2904050,"BA"
"569",2916906,"BA"
"570",2922052,"BA"
"571",2927903,"BA"
"572",2930006,"BA"
"573",3205309,"ES"
"574",2802106,"SE"
"575",3205002,"ES"
"576",2924900,"BA"
"577",2933257,"BA"
"578",2933158,"BA"
"579",2933109,"BA"
"580",2924207,"BA"
"581",3201506,"ES"
"582",2911006,"BA"
"583",2803500,"SE"
"584",3505500,"SP"
"585",5300108,"DF"
"586",2932200,"BA"
"587",2905404,"BA"
"588",2915304,"BA"
"589",2910305,"BA"
"590",2920908,"BA"
"591",2911303,"BA"
"592",2904704,"BA"
"593",3205200,"ES"
"594",2903235,"BA"
"595",2925402,"BA"
"596",2918704,"BA"
"597",3204906,"ES"
"598",2917805,"BA"
"599",3201308,"ES"
"600",2932408,"BA"
"601",2307304,"CE"
"602",2909000,"BA"
"603",3157005,"MG"
"604",2918803,"BA"
"605",2919009,"BA"
"606",2910776,"BA"
"607",2910909,"BA"
"608",4314407,"RS"
"609",3101607,"MG"
"610",4300604,"RS"
"611",4314902,"RS"
"612",3539301,"SP"
"613",3502507,"SP"
"614",4322806,"RS"
"615",3303906,"RJ"
"616",2307601,"CE"
"617",2108504,"MA"
"618",2615300,"PE"
"619",3541307,"SP"
"620",2412906,"RN"
"621",3547809,"SP"
"622",1705508,"TO"
"623",2408003,"RN"
"624",5205109,"GO"
"625",3172004,"MG"
"626",3139409,"MG"
"627",1504422,"PA"
"628",1501402,"PA"
"629",4306106,"RS"
"630",3530607,"SP"
"631",3306008,"RJ"
"632",3300605,"RJ"
"633",3118601,"MG"
"634",3509502,"SP"
"635",3203205,"ES"
"636",3101706,"MG"
"637",1500800,"PA"
"638",3301702,"RJ"
"639",3552205,"SP"
"640",2107902,"MA"
"641",3549102,"SP"
"642",5212204,"GO"
"643",3540705,"SP"
"644",3503208,"SP"
"645",4202008,"SC"
"646",1501451,"PA"
"647",3516705,"SP"
"648",3503307,"SP"
"649",3501905,"SP"
"650",1100304,"RO"
"651",1501303,"PA"
"652",2613107,"PE"
"653",1100049,"RO"
"654",2111300,"MA"
"655",3170107,"MG"
"656",3554102,"SP"
"657",4316907,"RS"
"658",3551009,"SP"
"659",2107506,"MA"
"660",4314100,"RS"
"661",4122651,"PR"
"662",2504009,"PB"
"663",4115200,"PR"
"664",3549904,"SP"
"665",2601706,"PE"
"666",3135100,"MG"
"667",3304904,"RJ"
"668",3102605,"MG"
"669",3154606,"MG"
"670",3143906,"MG"
"671",5220603,"GO"
"672",3303500,"RJ"
"673",3301009,"RJ"
"674",4209102,"SC"
"675",2103703,"MA"
"676",4202404,"SC"
"677",4127106,"PR"
"678",2606002,"PE"
"679",4116901,"PR"
"680",2303709,"CE"
"681",2301109,"CE"
"682",3139300,"MG"
"683",3128105,"MG"
"684",5001102,"MS"
"685",4311304,"RS"
"686",2602902,"PE"
"687",5213806,"GO"
"688",5101407,"MT"
"689",4124053,"PR"
"690",3131703,"MG"
"691",4119509,"PR"
"692",5201405,"GO"
"693",4102000,"PR"
"694",2408102,"RN"
"695",3513405,"SP"
"696",3144805,"MG"
"697",5218805,"GO"
"698",3101508,"MG"
"699",2602209,"PE"
"700",3549805,"SP"
"701",3170206,"MG"
"702",3303302,"RJ"
"703",3306107,"RJ"
"704",3534708,"SP"
"705",2301505,"CE"
"706",5208608,"GO"
"707",3300308,"RJ"
"708",3301900,"RJ"
"709",2604809,"PE"
"710",1505304,"PA"
"711",5205406,"GO"
"712",2609907,"PE"
"713",2109809,"MA"
"714",3300407,"RJ"
"715",4314803,"RS"
"716",2102325,"MA"
"717",2807402,"SE"
"718",2207702,"PI"
"719",3306305,"RJ"
"720",2508901,"PB"
"721",4318705,"RS"
"722",4121901,"PR"
"723",4104204,"PR"
"724",3170909,"MG"
"725",3502200,"SP"
"726",4313409,"RS"
"727",1703107,"TO"
"728",3518701,"SP"
"729",4208203,"SC"
"730",3106200,"MG"
"731",3548500,"SP"
"732",2502508,"PB"
"733",5107958,"MT"
"734",4215653,"SC"
"735",3557006,"SP"
"736",3543402,"SP"
"737",3302205,"RJ"
"738",3302106,"RJ"
"739",3547304,"SP"
"740",3504503,"SP"
"741",1709302,"TO"
"742",1716505,"TO"
"743",1702109,"TO"
"744",2200509,"PI"
"745",3524303,"SP"
"746",3545803,"SP"
"747",3513702,"SP"
"748",4101002,"PR"
"749",4308607,"RS"
"750",3518800,"SP"
"751",4106407,"PR"
"752",4119905,"PR"
"753",1714302,"TO"
"754",2105302,"MA"
"755",3131208,"MG"
"756",4127700,"PR"
"757",3304102,"RJ"
"758",3301876,"RJ"
"759",3147907,"MG"
"760",3170701,"MG"
"761",3136900,"MG"
"762",3106309,"MG"
"763",2608701,"PE"
"764",2107456,"MA"
"765",3132404,"MG"
"766",4322400,"RS"
"767",2112506,"MA"
"768",3552809,"SP"
"769",2103000,"MA"
"770",2208874,"PI"
"771",2210102,"PI"
"772",4323002,"RS"
"773",3516200,"SP"
"774",4108403,"PR"
"775",2516201,"PB"
"776",5002704,"MS"
"777",4211504,"SC"
"778",4205001,"SC"
"779",4208906,"SC"
"780",3507605,"SP"
"781",3169901,"MG"
"782",3523404,"SP"
"783",3106705,"MG"
"784",3145604,"MG"
"785",4209300,"SC"
"786",3556206,"SP"
"787",4219705,"SC"
"788",3143807,"MG"
"789",3163201,"MG"
"790",3152501,"MG"
"791",4307807,"RS"
"792",2304285,"CE"
"793",2100055,"MA"
"794",3504107,"SP"
"795",2600609,"PE"
"796",4218707,"SC"
"797",3122009,"MG"
"798",4300638,"RS"
"799",4314506,"RS"
"800",4204608,"SC"
"801",2108009,"MA"
"802",5107602,"MT"
"803",5201108,"GO"
"804",3115300,"MG"
"805",3501608,"SP"
"806",4312401,"RS"
"807",2801207,"SE"
"808",3505708,"SP"
"809",2306306,"CE"
"810",4305108,"RS"
"811",3151404,"MG"
"812",4101408,"PR"
"813",2302206,"CE"
"814",1507003,"PA"
"815",5105200,"MT"
"816",3122306,"MG"
"817",2111003,"MA"
"818",4322509,"RS"
"819",3518404,"SP"
"820",3302700,"RJ"
"821",3526902,"SP"
"822",1100122,"RO"
"823",2609006,"PE"
"824",3548906,"SP"
"825",3127503,"MG"
"826",2308500,"CE"
"827",4100400,"PR"
"828",1508001,"PA"
"829",3511102,"SP"
"830",4113700,"PR"
"831",3544202,"SP"
"832",3548807,"SP"
"833",3131901,"MG"
"834",2604601,"PE"
"835",1503606,"PA"
"836",2604007,"PE"
"837",5207501,"GO"
"838",5212501,"GO"
"839",3538709,"SP"
"840",3541406,"SP"
"841",1718204,"TO"
"842",1718501,"TO"
"843",1700707,"TO"
"844",2202604,"PI"
"845",3302502,"RJ"
"846",3304151,"RJ"
"847",3557105,"SP"
"848",4313706,"RS"
"849",4316105,"RS"
"850",4318903,"RS"
"851",2202901,"PI"
"852",2207009,"PI"
"853",4307005,"RS"
"854",5215231,"GO"
"855",3302007,"RJ"
"856",3300100,"RJ"
"857",4315602,"RS"
"858",3510708,"SP"
"859",3163706,"MG"
"860",3506508,"SP"
"861",2507507,"PB"
"862",2508604,"PB"
"863",2400802,"RN"
"864",3510609,"SP"
"865",3303609,"RJ"
"866",2304103,"CE"
"867",2402006,"RN"
