"","Code","Municipality.x","population_tcu.","hot","cold"
"138","140020","CARACARAI",22635,0,0
"139","140023","CAROEBE",10595,0,0
"140","140030","MUCAJAI",18482,0,0
"141","140040","NORMANDIA",11772,0,0
"142","140045","PACARAIMA",20108,0,0
"143","140047","RORAINOPOLIS",31387,0,0
"144","140050","SAO JOAO DA BALIZA",8492,0,0
"145","140060","SAO LUIZ",8232,0,0
"146","140070","UIRAMUTA",11014,0,0
"147","MUNICIPIO","IGNORADO - PA",0,0,0
"148","150010","ABAETETUBA",160439,0,0
"149","150013","ABEL FIGUEIREDO",7536,0,0
"150","150020","ACARA",55744,0,0
"151","150030","AFUA",39910,0,0
"152","150040","ALENQUER",57390,0,0
"153","150050","ALMEIRIM",34044,0,0
"154","150060","ALTAMIRA",117320,0,0
"155","150070","ANAJAS",30091,0,0
"156","150080","ANANINDEUA",540410,0,0
"157","150085","ANAPU",29312,0,0
"158","150090","AUGUSTO CORREA",46937,0,0
"159","150095","AURORA DO PARA",32200,0,0
"160","150100","AVEIRO",16421,0,1
"161","150110","BAGRE",31967,0,0
"162","150120","BAIAO",49454,0,0
"163","150125","BANNACH",3239,0,0
"164","150130","BARCARENA",129333,0,0
"165","150140","BELEM",1506420,0,0
"166","150145","BELTERRA",17944,0,0
"167","150150","BENEVIDES",64780,0,0
"168","150157","BOM JESUS DO TOCANTINS",17254,0,0
"169","150160","BONITO",16769,0,0
"170","150170","BRAGANCA",130122,0,0
"171","150172","BRASIL NOVO",14883,0,0
"172","150175","BREJO GRANDE DO ARAGUAIA",7357,0,0
"173","150178","BREU BRANCO",68597,0,0
"174","150180","BREVES",104280,0,0
"175","150190","BUJARU",29717,0,0
"176","150195","CACHOEIRA DO PIRIA",35307,0,0
"177","150200","CACHOEIRA DO ARARI",24355,0,0
"178","150210","CAMETA",140814,0,0
"179","150215","CANAA DOS CARAJAS",39103,0,0
"180","150220","CAPANEMA",69828,0,0
"181","150230","CAPITAO POCO",54545,0,1
"182","150240","CASTANHAL",205667,0,0
"183","150250","CHAVES",24175,0,0
"184","150260","COLARES",12175,0,0
"185","150270","CONCEICAO DO ARAGUAIA",48115,0,0
"186","150275","CONCORDIA DO PARA",34236,0,0
"187","150276","CUMARU DO NORTE",14044,0,0
"188","150277","CURIONOPOLIS",17764,0,0
"189","150280","CURRALINHO",35530,0,0
"190","150285","CURUA",14776,0,0
"191","150290","CURUCA",41093,0,0
"192","150293","DOM ELISEU",61206,0,0
"193","150295","ELDORADO DOS CARAJAS",34069,0,0
"194","150300","FARO",6949,0,0
"195","150304","FLORESTA DO ARAGUAIA",20742,0,0
"196","150307","GARRAFAO DO NORTE",26155,0,0
"197","150309","GOIANESIA DO PARA",41678,0,0
"198","150310","GURUPA",34127,0,0
"199","150320","IGARAPE-ACU",39234,0,0
"200","150330","IGARAPE-MIRI",63367,0,0
"201","150340","INHANGAPI",12009,0,0
"202","150345","IPIXUNA DO PARA",67170,0,0
"203","150350","IRITUIA",32639,0,0
"204","150360","ITAITUBA",101541,0,0
"205","150370","ITUPIRANGA",53439,0,0
"206","150375","JACAREACANGA",6952,0,0
"207","150380","JACUNDA",60517,0,0
"208","150390","JURUTI",59961,0,0
"209","150400","LIMOEIRO DO AJURU",29623,0,0
"210","150405","MAE DO RIO",30389,0,0
"211","150410","MAGALHAES BARATA",8598,0,0
"212","150420","MARABA",287664,0,0
"213","150430","MARACANA",29559,0,0
"214","150440","MARAPANIM",28563,0,0
"215","150442","MARITUBA",135812,0,0
"216","150445","MEDICILANDIA",32347,0,0
"217","150450","MELGACO",28121,0,0
"218","150460","MOCAJUBA",31917,0,0
"219","150470","MOJU",84251,0,0
"220","150475","MOJUI DOS CAMPOS",16282,0,0
"221","150480","MONTE ALEGRE",58289,0,0
"222","150490","MUANA",41454,0,0
"223","150495","NOVA ESPERANCA DO PIRIA",21519,0,0
"224","150497","NOVA IPIXUNA",17027,0,0
"225","150500","NOVA TIMBOTEUA",15646,0,0
"226","150503","NOVO PROGRESSO",25769,0,0
"227","150506","NOVO REPARTIMENTO",78488,0,0
"228","150510","OBIDOS",52473,0,0
"229","150520","OEIRAS DO PARA",33182,0,0
"230","150530","ORIXIMINA",74921,0,0
"231","150540","OUREM",18079,0,0
"232","150543","OURILANDIA DO NORTE",33831,0,0
"233","150548","PACAJA",49110,0,0
"234","150549","PALESTINA DO PARA",7575,0,0
"235","150550","PARAGOMINAS",115838,0,0
"236","150553","PARAUAPEBAS",218787,0,0
"237","150555","PAU D'ARCO",5339,0,0
"238","150560","PEIXE-BOI",8084,0,0
"239","150563","PICARRA",12976,0,0
"240","150565","PLACAS",32325,0,0
"241","150570","PONTA DE PEDRAS",32007,0,0
"242","150580","PORTEL",63831,0,0
"243","150590","PORTO DE MOZ",42456,0,0
"244","150600","PRAINHA",29827,0,0
"245","150610","PRIMAVERA",10889,0,0
"246","150611","QUATIPURU",13794,0,0
"247","150613","REDENCAO",86326,0,0
"248","150616","RIO MARIA",18208,0,0
"249","150618","RONDON DO PARA",53242,0,0
"250","150619","RUROPOLIS",52473,0,0
"251","150620","SALINOPOLIS",41164,0,0
"252","150630","SALVATERRA",24392,0,0
"253","150635","SANTA BARBARA DO PARA",21811,0,0
"254","150640","SANTA CRUZ DO ARARI",10496,0,0
"255","150650","SANTA IZABEL DO PARA",72856,0,0
"256","150655","SANTA LUZIA DO PARA",19839,0,0
"257","150658","SANTA MARIA DAS BARREIRAS",22244,0,0
"258","150660","SANTA MARIA DO PARA",25127,0,0
"259","150670","SANTANA DO ARAGUAIA",75995,0,0
"260","150680","SANTAREM",308339,0,0
"261","150690","SANTAREM NOVO",6796,0,0
"262","150700","SANTO ANTONIO DO TAUA",32346,0,0
"263","150710","SAO CAETANO DE ODIVELAS",18207,0,0
